1|Afghanistan|Kabul|Kandahar|Herat|Mazar-i-Sharif|Jalalabad
2|Albania|Tirana|Durres|Vlore|Elbasan|Shkoder
3|Algeria|Algiers|Oran|Constantine|Annaba|Batna
4|Andorra|Andorra la Vella|Canillo|Encamp|La Massana|Ordino
5|Angola|Luanda|Huambo|Lobito|Benguela|Kuito
6|Antigua and Barbuda|Saint John's|All Saints|Liberta|Potter's Village|Bolans
7|Argentina|Buenos Aires|Cordoba|Rosario|Mendoza|San Miguel de Tucuman
8|Armenia|Yerevan|Gyumri|Vanadzor|Ejmiatsin|Hrazdan
9|Australia|Sydney|Melbourne|Brisbane|Perth|Adelaide
10|Austria|Vienna|Graz|Linz|Salzburg|Innsbruck
11|Azerbaijan|Baku|Ganja|Sumgait|Mingachevir|Lankaran
12|Bahamas|Nassau|Freeport|West End|Coopers Town|Marsh Harbour
13|Bahrain|Manama|Riffa|Muharraq|Hamad Town|Isa Town
14|Bangladesh|Dhaka|Chittagong|Khulna|Rajshahi|Sylhet
15|Barbados|Bridgetown|Speightstown|Oistins|Bathsheba|Holetown
16|Belarus|Minsk|Gomel|Mogilev|Vitebsk|Hrodna
17|Belgium|Brussels|Antwerp|Ghent|Charleroi|Liege
18|Belize|Belmopan|Belize City|San Ignacio|Orange Walk|Dangriga
19|Benin|Porto-Novo|Cotonou|Parakou|Djougou|Bohicon
20|Bhutan|Thimphu|Phuntsholing|Punakha|Jakar|Paro
21|Bolivia|La Paz|Santa Cruz|Cochabamba|Sucre|Oruro
22|Bosnia and Herzegovina|Sarajevo|Banja Luka|Tuzla|Zenica|Mostar
23|Botswana|Gaborone|Francistown|Selebi-Phikwe|Maun|Serowe
24|Brazil|Brasilia|Sao Paulo|Rio de Janeiro|Belo Horizonte|Fortaleza
25|Brunei|Bandar Seri Begawan|Kuala Belait|Seria|Tutong|Bangar
26|Bulgaria|Sofia|Plovdiv|Varna|Burgas|Ruse
27|Burkina Faso|Ouagadougou|Bobo-Dioulasso|Koudougou|Banfora|Ouahigouya
28|Burundi|Bujumbura|Gitega|Muyinga|Ruyigi|Ngozi
29|Cambodia|Phnom Penh|Siem Reap|Battambang|Sihanoukville|Kampong Cham
30|Cameroon|Yaounde|Douala|Bamenda|Bafoussam|Garoua
31|Canada|Ottawa|Toronto|Montreal|Vancouver|Calgary
32|Cape Verde|Praia|Mindelo|Santa Maria|Santa Cruz|Espargos
33|Central African Republic|Bangui|Bimbo|Berberati|Kaga-Bandoro|Mbaiki
34|Chad|N'Djamena|Moundou|Sarh|Abéché|Kelo
35|Chile|Santiago|Valparaiso|Concepcion|La Serena|Antofagasta
36|China|Beijing|Shanghai|Guangzhou|Chongqing|Shenzhen
37|Colombia|Bogota|Medellin|Cali|Barranquilla|Cartagena
38|Comoros|Moroni|Fomboni|Moutsamoudou|Domoni|Sima
39|Costa Rica|San Jose|Limon|Alajuela|Heredia|Cartago
40|Croatia|Zagreb|Split|Rijeka|Osijek|Pula
41|Cuba|Havana|Santiago de Cuba|Camaguey|Holguin|Guantanamo
42|Cyprus|Nicosia|Limassol|Larnaca|Famagusta|Kyrenia
43|Czech Republic|Prague|Brno|Ostrava|Plzen|Liberec
44|Democratic Republic of the Congo|Kinshasa|Lubumbashi|Mbuji-Mayi|Kananga|Kisangani
